# BioGRID 5.0.258 — human, physical, yeast-two-hybrid excluded; CtBP hub–partner rows
hub	partner	experimental_system	pubmed	throughput
CTBP1	ACTL6B	Affinity Capture-Western	12565893	Low Throughput
CTBP1	AKT1	Affinity Capture-Western	20361981	Low Throughput
CTBP1	APC	Affinity Capture-MS	26186194	High Throughput
CTBP1	APC	Affinity Capture-MS	26496610	High Throughput
CTBP1	APC	Affinity Capture-MS	28514442	High Throughput
CTBP1	APC	Affinity Capture-MS	33961781	High Throughput
CTBP1	APC	Affinity Capture-MS	35016035	High Throughput
CTBP1	APC	Affinity Capture-Western	15525529	Low Throughput
CTBP1	APC	Affinity Capture-Western	15525529	Low Throughput
CTBP1	APC	Affinity Capture-Western	16510875	Low Throughput
CTBP1	APC	Proximity Label-MS	35016035	High Throughput
CTBP1	APC	Reconstituted Complex	15525529	Low Throughput
CTBP1	AR	Affinity Capture-MS	34585037	Low Throughput
CTBP1	AR	Affinity Capture-MS	35785414	High Throughput
CTBP1	ATIC	Co-fractionation	26344197	High Throughput
CTBP1	BCL3	Affinity Capture-MS	20547759	Low Throughput
CTBP1	BCL3	Affinity Capture-MS	20800578	High Throughput
CTBP1	BCL3	Affinity Capture-Western	20547759	Low Throughput
CTBP1	BCL3	Affinity Capture-Western	20800578	Low Throughput
CTBP1	BCL3	Reconstituted Complex	20800578	Low Throughput
CTBP1	BCL3	Reconstituted Complex	20800578	Low Throughput
CTBP1	BCL6	Affinity Capture-Western	18212045	Low Throughput
CTBP1	BCL6	Co-localization	18212045	Low Throughput
CTBP1	BCL6	Reconstituted Complex	18212045	Low Throughput
CTBP1	BCOR	Affinity Capture-MS	26186194	High Throughput
CTBP1	BCOR	Affinity Capture-MS	28514442	High Throughput
CTBP1	BCOR	Affinity Capture-MS	33961781	High Throughput
CTBP1	BCOR	Affinity Capture-MS	35016035	High Throughput
CTBP1	BCOR	Proximity Label-MS	35016035	High Throughput
CTBP1	BCORL1	Affinity Capture-MS	26186194	High Throughput
CTBP1	BCORL1	Affinity Capture-MS	28514442	High Throughput
CTBP1	BCORL1	Affinity Capture-MS	33961781	High Throughput
CTBP1	BCORL1	Affinity Capture-Western	17379597	Low Throughput
CTBP1	BCORL1	Affinity Capture-Western	17379597	Low Throughput
CTBP1	BCORL1	Co-localization	17379597	Low Throughput
CTBP1	BCORL1	Proximity Label-MS	35016035	High Throughput
CTBP1	BRCA1	Affinity Capture-Western	10196224	Low Throughput
CTBP1	BRCA1	Affinity Capture-Western	21102443	Low Throughput
CTBP1	BRCA1	Affinity Capture-Western	21102443	Low Throughput
CTBP1	BRCA1	Affinity Capture-Western	31636387	Low Throughput
CTBP1	BRCA1	Affinity Capture-Western	31636387	Low Throughput
CTBP1	C15orf39	Affinity Capture-MS	26186194	High Throughput
CTBP1	C15orf39	Affinity Capture-MS	28514442	High Throughput
CTBP1	C15orf39	Affinity Capture-MS	33961781	High Throughput
CTBP1	C15orf39	Proximity Label-MS	35016035	High Throughput
CTBP1	CBX4	Affinity Capture-MS	26186194	High Throughput
CTBP1	CBX4	Affinity Capture-MS	28514442	High Throughput
CTBP1	CBX4	Affinity Capture-MS	33961781	High Throughput
CTBP1	CBX4	Affinity Capture-Western	11583618	Low Throughput
CTBP1	CBX4	Affinity Capture-Western	20361981	Low Throughput
CTBP1	CBX4	Biochemical Activity	12679040	Low Throughput
CTBP1	CBX4	Reconstituted Complex	12829790	Low Throughput
CTBP1	CCND1	Co-fractionation	35831314	High Throughput
